Log Message,Start Time,End Time,Time Diff
Articles api starts - Articles api ends,2021-08-02 12:18:54.549,2021-08-02 12:18:56.841,2.292
network EP starts - network EP ends,2021-08-02 12:18:57.659,2021-08-02 12:19:10.651,12.992
timeline ep starts - timeline ep ends,2021-08-02 12:18:57.659,2021-08-02 12:19:08.531,10.872
topusers EP starts - Topusers EP ends,2021-08-02 12:19:35.027,2021-08-02 12:19:35.061,0.034
top article EP starts - top article EP ends,2021-08-02 12:19:35.043,2021-08-02 12:19:35.058,0.015
top article EP starts - top article EP ends,2021-08-02 12:19:44.977,2021-08-02 12:19:44.991,0.014
Articles api starts - Articles api ends,2021-08-02 12:19:45.072,2021-08-02 12:19:46.244,1.172
timeline ep starts - timeline ep ends,2021-08-02 12:19:46.536,2021-08-02 12:19:57.937,11.401
network EP starts - network EP ends,2021-08-02 12:19:46.569,2021-08-02 12:19:59.977,13.408
top article EP starts - top article EP ends,2021-08-02 12:20:09.174,2021-08-02 12:20:09.187,0.013
topusers EP starts - Topusers EP ends,2021-08-02 12:20:09.197,2021-08-02 12:20:09.207,0.01
top article EP starts - top article EP ends,2021-08-02 12:20:15.392,2021-08-02 12:20:15.405,0.013
Articles api starts - Articles api ends,2021-08-02 12:20:15.430,2021-08-02 12:20:17.286,1.856
timeline ep starts - timeline ep ends,2021-08-02 12:20:17.562,2021-08-02 12:20:29.170,11.608
network EP starts - network EP ends,2021-08-02 12:20:17.571,2021-08-02 12:20:35.308,17.737
